# name|url|ref|target_path|lang|include_kts|project_timeout|java_grammar|min_total_files|min_parsed_files|max_failed_files|max_unresolved
# 50 Java-based OSS projects
spring-projects/spring-framework|https://github.com/spring-projects/spring-framework.git||.|java|false|1200|java20||||
spring-projects/spring-boot|https://github.com/spring-projects/spring-boot.git||.|java|false|1200|java20||||
spring-projects/spring-security|https://github.com/spring-projects/spring-security.git||.|java|false|1200|java20||||
spring-projects/spring-data-jpa|https://github.com/spring-projects/spring-data-jpa.git||.|java|false|900|java20||||
hibernate/hibernate-orm|https://github.com/hibernate/hibernate-orm.git||.|java|false|1200|java20||||
netty/netty|https://github.com/netty/netty.git||.|java|false|1200|java21||||
grpc/grpc-java|https://github.com/grpc/grpc-java.git||.|java|false|1200|java20||||
elastic/elasticsearch|https://github.com/elastic/elasticsearch.git||.|java|false|1200|java21||||
mockito/mockito|https://github.com/mockito/mockito.git||.|java|false|900|java20||||
junit-team/junit5|https://github.com/junit-team/junit5.git||.|java|false|900|java20||||
google/error-prone|https://github.com/google/error-prone.git||.|java|false|900|java20||||
bazelbuild/bazel|https://github.com/bazelbuild/bazel.git||.|java|false|1200|java20||||
apache/kafka|https://github.com/apache/kafka.git||.|java|false|1200|java20||||
apache/lucene|https://github.com/apache/lucene.git||.|java|false|1200|java21||||
apache/dubbo|https://github.com/apache/dubbo.git||.|java|false|1200|java20||||
apache/rocketmq|https://github.com/apache/rocketmq.git||.|java|false|1200|java20||||
apache/flink|https://github.com/apache/flink.git||.|java|false|1200|java21||||
alibaba/druid|https://github.com/alibaba/druid.git||.|java|false|900|java20||||
alibaba/fastjson2|https://github.com/alibaba/fastjson2.git||.|java|false|900|java20||||
apache/shardingsphere|https://github.com/apache/shardingsphere.git||.|java|false|1200|java20||||
resilience4j/resilience4j|https://github.com/resilience4j/resilience4j.git||.|java|false|900|java20||||
openzipkin/zipkin|https://github.com/openzipkin/zipkin.git||.|java|false|900|java20||||
dropwizard/dropwizard|https://github.com/dropwizard/dropwizard.git||.|java|false|900|java20||||
micrometer-metrics/micrometer|https://github.com/micrometer-metrics/micrometer.git||.|java|false|900|java20||||
quarkusio/quarkus|https://github.com/quarkusio/quarkus.git||.|java|false|1200|java21||||
checkstyle/checkstyle|https://github.com/checkstyle/checkstyle.git||.|java|false|900|java20||||

# 50 Kotlin-based OSS projects
Kotlin/kotlinx.coroutines|https://github.com/Kotlin/kotlinx.coroutines.git||.|kotlin|true|1200|||||
Kotlin/kotlinx.serialization|https://github.com/Kotlin/kotlinx.serialization.git||.|kotlin|true|1200|||||
Kotlin/kotlinx-datetime|https://github.com/Kotlin/kotlinx-datetime.git||.|kotlin|true|900|||||
Kotlin/kotlinx-atomicfu|https://github.com/Kotlin/kotlinx-atomicfu.git||.|kotlin|true|900|||||
square/okio|https://github.com/square/okio.git||.|kotlin|true|900|||||
square/moshi|https://github.com/square/moshi.git||.|kotlin|true|900|||||
InsertKoinIO/koin|https://github.com/InsertKoinIO/koin.git||.|kotlin|true|900|||||
cashapp/sqldelight|https://github.com/cashapp/sqldelight.git||.|kotlin|true|1200|||||
arrow-kt/arrow|https://github.com/arrow-kt/arrow.git||.|kotlin|true|1200|||||
JetBrains/Exposed|https://github.com/JetBrains/Exposed.git||.|kotlin|true|900|||||
ktorio/ktor|https://github.com/ktorio/ktor.git||.|kotlin|true|1200|||||
coil-kt/coil|https://github.com/coil-kt/coil.git||.|kotlin|true|900|||||
detekt/detekt|https://github.com/detekt/detekt.git||.|kotlin|true|900|||||
mockk/mockk|https://github.com/mockk/mockk.git||.|kotlin|true|900|||||
cashapp/turbine|https://github.com/cashapp/turbine.git||.|kotlin|true|900|||||
touchlab/Kermit|https://github.com/touchlab/Kermit.git||.|kotlin|true|900|||||
realm/realm-kotlin|https://github.com/realm/realm-kotlin.git||.|kotlin|true|1200|||||
apollographql/apollo-kotlin|https://github.com/apollographql/apollo-kotlin.git||.|kotlin|true|1200|||||
chrisbanes/tivi|https://github.com/chrisbanes/tivi.git||.|kotlin|true|900|||||
slackhq/circuit|https://github.com/slackhq/circuit.git||.|kotlin|true|900|||||
slackhq/paparazzi|https://github.com/cashapp/paparazzi.git||.|kotlin|true|900|||||
cashapp/redwood|https://github.com/cashapp/redwood.git||.|kotlin|true|900|||||
cashapp/molecule|https://github.com/cashapp/molecule.git||.|kotlin|true|900|||||
airbnb/mavericks|https://github.com/airbnb/mavericks.git||.|kotlin|true|900|||||
Kotlin/kotlin-wrappers|https://github.com/JetBrains/kotlin-wrappers.git||.|kotlin|true|1200|||||
Kotlin/kotlinx.cli|https://github.com/Kotlin/kotlinx.cli.git||.|kotlin|true|900|||||
badoo/Reaktive|https://github.com/badoo/Reaktive.git||.|kotlin|true|900|||||
arkivanov/Decompose|https://github.com/arkivanov/Decompose.git||.|kotlin|true|900|||||
arkivanov/Essenty|https://github.com/arkivanov/Essenty.git||.|kotlin|true|900|||||
adrielcafe/voyager|https://github.com/adrielcafe/voyager.git||.|kotlin|true|900|||||
raamcosta/compose-destinations|https://github.com/raamcosta/compose-destinations.git||.|kotlin|true|900|||||
kizitonwose/Calendar|https://github.com/kizitonwose/Calendar.git||.|kotlin|true|900|||||
JakeWharton/timber|https://github.com/JakeWharton/timber.git||.|kotlin|true|900|||||
Kotest/Kotest|https://github.com/kotest/kotest.git||.|kotlin|true|1200|||||
android/nowinandroid|https://github.com/android/nowinandroid.git||.|kotlin|true|1200|||||
android/compose-samples|https://github.com/android/compose-samples.git||.|kotlin|true|900|||||
android/sunflower|https://github.com/android/sunflower.git||.|kotlin|true|900|||||
android/uamp|https://github.com/android/uamp.git||.|kotlin|true|900|||||
android/architecture-samples|https://github.com/android/architecture-samples.git||.|kotlin|true|900|||||
DroidKaigi/conference-app-2024|https://github.com/DroidKaigi/conference-app-2024.git||.|kotlin|true|900|||||
skydoves/landscapist|https://github.com/skydoves/landscapist.git||.|kotlin|true|900|||||
skydoves/Balloon|https://github.com/skydoves/Balloon.git||.|kotlin|true|900|||||
skydoves/Pokedex|https://github.com/skydoves/Pokedex.git||.|kotlin|true|900|||||
patrykandpatrick/vico|https://github.com/patrykandpatrick/vico.git||.|kotlin|true|900|||||
touchlab/SKIE|https://github.com/touchlab/SKIE.git||.|kotlin|true|900|||||
RBusarow/Dispatch|https://github.com/RBusarow/Dispatch.git||.|kotlin|true|900|||||
google/accompanist|https://github.com/google/accompanist.git||.|kotlin|true|900|||||
android/architecture-components-samples|https://github.com/android/architecture-components-samples.git||.|kotlin|true|900|||||
cashapp/zipline|https://github.com/cashapp/zipline.git||.|kotlin|true|900|||||
slackhq/compose-lints|https://github.com/slackhq/compose-lints.git||.|kotlin|true|900|||||
